Product Name,Category,Price,City
Le Bonta Кабачки на гриле в масле 314 мл,Антипасти,4 000 Т,Astana
Medusa Сурими с королевскими креветками 1 кг,Антипасти,12 800 Т,Astana
Перец на гриле в масле Le Bonta 3100 мл,Антипасти,18 800 Т,Astana
Артишоки четвертинка в рассоле ж/б Le Bonta 2650 мл,Антипасти,12 800 Т,Astana
Le Bonta Лук на гриле Borettane 1700 мл,Антипасти,10 500 Т,Astana
Le Bonta Лук с бальзамическим уксусом Borettane 1700 мл,Антипасти,10 500 Т,Astana
Casa Marrazzo Цуккини на гриле в масле 750 гр,Антипасти,4 900 Т,Astana
Кокосовое Молоко Aroy-D 400 мл,Бакалея,2 200 Т,Astana
Том Ям Паста Aroy-D  400 гр,Бакалея,3 600 Т,Astana
Спагетти с чернилами каракатицы Le Bonta 500 гр,Бакалея,2 500 Т,Astana
"Caffe Poli Кофе в зернах Arabica 100% 1 кг, Италия",Бакалея,13 500 Т,Astana
Ореховая Заправка Sen Soy 40 гр,Бакалея,590 Т,Astana
Приправа Гималайская и Три вида перца горошек 312 гр мельница Carmencita,Бакалея,4 800 Т,Astana
4 Перца горошком микс Carmencita 145 гр мельница,Бакалея,5 690 Т,Astana
Кокосовое Молоко AROY-D 1L,Бакалея,4 500 Т,Astana
Aroy-D Кокосовое Молоко 250 мл тетра пак,Бакалея,1 700 Т,Astana
Сальса из черного трюфеля Salsa Nero Tartuffi 90 гр,Бакалея,7 500 Т,Astana
Кофе в зернах смесь Arabica 70% и Robusta 30%,Бакалея,13 000 Т,Astana
"Замороженное пюре Манго Ravifruit, Франция, 1 кг",Бакалея,8 500 Т,Astana
Сальса из Черного трюфеля Tartuffi 45 гр,Бакалея,5 800 Т,Astana
Carmencita Приправа Средиземнорский микс 190 гр мельница (216 гр),Бакалея,4 600 Т,Astana
"Замороженное пюре Маракуйя Ravifruit, Франция, 1 кг",Бакалея,8 500 Т,Astana
